SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,3PM,3PA,3P_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
2014-15,1610612748,MIA,Miami Heat,0021401227,2015-04-15,MIA @ PHI,W,48.0,39,89,0.438,12,31,0.387,15,20,0.75,12,30,42,22,16.0,10,2,5,17,21,105,4.0
2014-15,1610612748,MIA,Miami Heat,0021401207,2015-04-13,MIA vs. ORL,W,48.0,39,83,0.47,3,10,0.3,19,23,0.826,11,39,50,21,14.0,2,9,4,19,23,100,7.0
2014-15,1610612748,MIA,Miami Heat,0021401188,2015-04-11,MIA vs. TOR,L,48.0,37,81,0.457,6,20,0.3,24,44,0.545,14,33,47,14,7.0,3,8,3,25,31,104,-3.0
2014-15,1610612748,MIA,Miami Heat,0021401173,2015-04-09,MIA vs. CHI,L,48.0,34,88,0.386,5,18,0.278,5,7,0.714,13,33,46,14,14.0,2,7,2,17,11,78,-11.0
2014-15,1610612748,MIA,Miami Heat,0021401155,2015-04-07,MIA vs. CHA,W,48.0,40,81,0.494,3,15,0.2,22,28,0.786,8,34,42,20,11.0,4,6,5,17,26,105,5.0
2014-15,1610612748,MIA,Miami Heat,0021401149,2015-04-05,MIA @ IND,L,48.0,37,82,0.451,2,20,0.1,13,19,0.684,7,30,37,15,14.0,7,7,7,25,22,89,-23.0
2014-15,1610612748,MIA,Miami Heat,0021401139,2015-04-04,MIA @ DET,L,48.0,37,77,0.481,5,20,0.25,19,26,0.731,11,26,37,19,14.0,6,7,3,20,21,98,-1.0
2014-15,1610612748,MIA,Miami Heat,0021401124,2015-04-02,MIA @ CLE,L,48.0,32,75,0.427,7,21,0.333,17,21,0.81,8,28,36,25,16.0,8,2,7,23,21,88,-26.0
2014-15,1610612748,MIA,Miami Heat,0021401110,2015-03-31,MIA vs. SAS,L,48.0,32,79,0.405,5,15,0.333,12,12,1.0,10,23,33,11,18.0,9,4,6,21,19,81,-14.0
2014-15,1610612748,MIA,Miami Heat,0021401096,2015-03-29,MIA vs. DET,W,48.0,39,82,0.476,7,18,0.389,24,29,0.828,14,32,46,20,11.0,4,1,5,16,20,109,7.0
2014-15,1610612748,MIA,Miami Heat,0021401077,2015-03-27,MIA @ ATL,L,48.0,32,82,0.39,11,35,0.314,11,15,0.733,11,30,41,20,19.0,9,6,4,20,13,86,-13.0
2014-15,1610612748,MIA,Miami Heat,0021401064,2015-03-25,MIA @ BOS,W,48.0,34,77,0.442,9,24,0.375,16,23,0.696,8,30,38,23,17.0,7,6,4,28,25,93,7.0
2014-15,1610612748,MIA,Miami Heat,0021401055,2015-03-24,MIA @ MIL,L,48.0,33,75,0.44,8,19,0.421,14,18,0.778,8,26,34,18,20.0,11,4,9,20,23,88,-1.0
2014-15,1610612748,MIA,Miami Heat,0021401038,2015-03-22,MIA @ OKC,L,48.0,32,81,0.395,3,18,0.167,8,15,0.533,13,28,41,13,19.0,7,6,7,15,17,75,-18.0
2014-15,1610612748,MIA,Miami Heat,0021401024,2015-03-20,MIA vs. DEN,W,48.0,43,81,0.531,7,16,0.438,15,19,0.789,10,34,44,23,16.0,8,7,7,17,20,108,17.0
2014-15,1610612748,MIA,Miami Heat,0021401007,2015-03-18,MIA vs. POR,W,48.0,46,87,0.529,7,10,0.7,9,14,0.643,8,27,35,21,9.0,7,7,2,18,15,108,4.0
2014-15,1610612748,MIA,Miami Heat,0021400995,2015-03-16,MIA vs. CLE,W,48.0,42,76,0.553,4,15,0.267,18,22,0.818,6,39,45,21,17.0,8,5,4,21,21,106,14.0
2014-15,1610612748,MIA,Miami Heat,0021400970,2015-03-13,MIA @ TOR,L,48.0,35,79,0.443,5,23,0.217,17,24,0.708,7,37,44,21,20.0,11,5,5,22,22,92,-10.0
2014-15,1610612748,MIA,Miami Heat,0021400955,2015-03-11,MIA vs. BKN,W,48.0,37,81,0.457,6,21,0.286,24,38,0.632,11,28,39,23,11.0,14,3,2,29,24,104,6.0
2014-15,1610612748,MIA,Miami Heat,0021400940,2015-03-09,MIA vs. BOS,L,48.0,29,69,0.42,4,17,0.235,28,34,0.824,5,27,32,15,13.0,5,2,2,17,25,90,-10.0
2014-15,1610612748,MIA,Miami Heat,0021400925,2015-03-07,MIA vs. SAC,W,53.0,41,80,0.513,7,24,0.292,25,33,0.758,4,30,34,23,14.0,13,8,4,21,29,114,5.0
2014-15,1610612748,MIA,Miami Heat,0021400920,2015-03-06,MIA @ WAS,L,48.0,37,79,0.468,10,27,0.37,13,19,0.684,8,29,37,18,15.0,5,2,4,19,21,97,-2.0
