GROUP_SET,GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,players_list
Lineups,-1628389-1629130-1629312-1631107-1631170-,B. Adebayo - D. Robinson - H. Highsmith - N. Jovic - J. Jaquez Jr.,1,1,0,1.0,19.3,15.0,41.0,0.366,6.0,14.0,0.429,5.0,6.0,0.833,9.0,12.0,21.0,11.0,3.0,3.0,1.0,4.0,4.0,8.0,41.0,10.0,"'B. Adebayo', 'D. Robinson', 'H. Highsmith', 'N. Jovic', 'J. Jaquez Jr.'"
Lineups,-200768-201567-202710-1628389-1629639-,K. Lowry - K. Love - J. Butler - B. Adebayo - T. Herro,2,1,1,0.5,18.9,18.0,40.5,0.444,6.5,12.0,0.542,6.5,9.0,0.722,9.0,13.5,22.5,11.0,3.5,4.5,2.0,6.5,6.0,7.0,49.0,8.5,"'K. Lowry', 'K. Love', 'J. Butler', 'B. Adebayo', 'T. Herro'"
Lineups,-200768-1628389-1629130-1629312-1631170-,K. Lowry - B. Adebayo - D. Robinson - H. Highsmith - J. Jaquez Jr.,1,1,0,1.0,15.7,15.0,28.0,0.536,2.0,11.0,0.182,4.0,5.0,0.8,1.0,13.0,14.0,10.0,4.0,1.0,1.0,1.0,4.0,6.0,36.0,1.0,"'K. Lowry', 'B. Adebayo', 'D. Robinson', 'H. Highsmith', 'J. Jaquez Jr.'"
Lineups,-200768-201567-1626196-1628389-1629130-,K. Lowry - K. Love - J. Richardson - B. Adebayo - D. Robinson,1,0,1,0.0,15.2,10.0,31.0,0.323,6.0,10.0,0.6,4.0,7.0,0.571,4.0,9.0,13.0,9.0,2.0,0.0,1.0,1.0,6.0,7.0,30.0,-12.0,"'K. Lowry', 'K. Love', 'J. Richardson', 'B. Adebayo', 'D. Robinson'"
Lineups,-200768-202710-1628389-1629639-1631170-,K. Lowry - J. Butler - B. Adebayo - T. Herro - J. Jaquez Jr.,1,0,1,0.0,14.8,12.0,32.0,0.375,3.0,12.0,0.25,3.0,3.0,1.0,7.0,12.0,19.0,6.0,6.0,4.0,3.0,2.0,4.0,4.0,30.0,2.0,"'K. Lowry', 'J. Butler', 'B. Adebayo', 'T. Herro', 'J. Jaquez Jr.'"
Lineups,-202710-1626196-1628389-1629312-1629639-,J. Butler - J. Richardson - B. Adebayo - H. Highsmith - T. Herro,1,0,1,0.0,14.6,14.0,23.0,0.609,4.0,10.0,0.4,5.0,8.0,0.625,3.0,13.0,16.0,9.0,8.0,3.0,6.0,1.0,4.0,7.0,37.0,6.0,"'J. Butler', 'J. Richardson', 'B. Adebayo', 'H. Highsmith', 'T. Herro'"
Lineups,-1628418-1628997-1629130-1631170-1631288-,T. Bryant - C. Martin - D. Robinson - J. Jaquez Jr. - J. Cain,1,1,0,1.0,14.2,15.0,28.0,0.536,3.0,6.0,0.5,0.0,0.0,0.0,6.0,8.0,14.0,9.0,6.0,3.0,0.0,2.0,3.0,1.0,33.0,-4.0,"'T. Bryant', 'C. Martin', 'D. Robinson', 'J. Jaquez Jr.', 'J. Cain'"
Lineups,-202710-1626179-1626196-1628389-1629312-,J. Butler - T. Rozier - J. Richardson - B. Adebayo - H. Highsmith,1,0,1,0.0,14.0,10.0,23.0,0.435,2.0,7.0,0.286,6.0,6.0,1.0,3.0,8.0,11.0,6.0,2.0,3.0,0.0,0.0,3.0,5.0,28.0,3.0,"'J. Butler', 'T. Rozier', 'J. Richardson', 'B. Adebayo', 'H. Highsmith'"
Lineups,-200768-202710-1628389-1629639-1631107-,K. Lowry - J. Butler - B. Adebayo - T. Herro - N. Jovic,2,1,1,0.5,13.9,13.0,22.5,0.578,2.0,6.5,0.308,4.0,4.5,0.889,0.5,12.5,13.0,8.5,2.0,1.5,1.0,1.5,3.0,4.0,32.0,9.5,"'K. Lowry', 'J. Butler', 'B. Adebayo', 'T. Herro', 'N. Jovic'"
Lineups,-202710-1628389-1628997-1629639-1631107-,J. Butler - B. Adebayo - C. Martin - T. Herro - N. Jovic,3,1,2,0.333,13.8,11.7,24.3,0.479,4.0,7.3,0.545,5.7,6.3,0.895,2.7,9.7,12.3,7.0,3.7,1.7,1.0,1.7,3.7,4.7,33.0,3.3,"'J. Butler', 'B. Adebayo', 'C. Martin', 'T. Herro', 'N. Jovic'"
